반복 회차 (Iteration),주문 번호 (k),도착 시간 (t_k),작업 수량 (n_k),할당 랙 (r),할당 CP (c),완료 시간 (E_k)
4,89,418.90999999999997,3,5,86,440.9
5,0,0.0,1,2,36,7.75
5,1,15.049999999999999,1,3,49,22.98
5,2,21.63,1,3,47,28.67
5,3,26.2,1,4,64,34.73
5,4,27.04,1,0,0,32.61
5,5,27.889999999999997,1,4,60,39.4
5,6,28.189999999999998,1,3,58,35.72
5,7,38.25,1,3,55,45.78
5,8,42.839999999999996,1,3,48,52.14
5,9,49.0,1,1,16,55.53
5,10,49.1,1,5,77,56.89
5,11,66.62,1,2,38,75.08
5,12,75.55000000000001,1,0,11,83.08
5,13,76.75,1,4,74,85.28
5,14,77.75,1,3,54,85.68
5,15,78.76,1,0,7,88.77
5,16,80.58000000000001,1,4,66,90.93
5,17,84.30000000000001,1,1,27,92.43
5,18,87.12,1,3,59,95.05
5,19,88.84,1,4,65,96.58
5,20,93.58000000000001,1,5,81,101.33
5,21,94.33000000000001,1,2,44,103.46
5,22,96.06,1,1,29,104.59
5,23,98.34,1,4,73,106.47
5,24,101.38000000000001,1,4,69,113.5
5,25,109.07000000000001,1,1,19,117.6
5,26,110.18,1,4,67,119.19
5,27,113.79,1,1,25,124.23
5,28,118.28,1,1,17,129.92
5,29,118.52000000000001,2,0,6,130.72
5,30,123.2,1,0,13,137.35
5,31,124.13000000000001,2,2,31,136.29
5,32,124.47,2,5,83,139.29
5,33,139.34,1,2,42,148.07
5,34,156.19,1,2,34,165.32
5,35,164.45000000000002,1,5,82,172.24
5,36,166.27,1,2,37,174.06
5,37,166.78,1,5,86,178.87
5,38,172.55,1,1,20,179.7
5,39,175.45000000000002,1,3,46,181.38
5,40,176.1,1,5,76,183.9
5,41,179.51000000000002,1,3,53,187.74
5,42,179.69,1,3,50,193.39
5,43,191.69,1,5,89,200.82
5,44,193.19,1,4,61,199.72
5,45,198.62,1,3,57,206.15
5,46,200.49,1,3,51,211.8
5,47,204.16,2,0,8,217.78
5,48,208.11,1,0,12,224.41
5,49,209.14000000000001,1,1,21,216.29
5,50,226.6,1,4,68,234.46
5,51,234.06,1,5,75,240.83
5,52,248.09,1,2,41,256.82
5,53,259.34999999999997,1,0,14,267.28
5,54,263.9,1,5,88,272.63
5,55,276.65,1,3,45,282.22
5,56,277.10999999999996,1,1,22,284.3
5,57,278.2,1,0,2,284.79
5,58,278.44,1,5,79,287.57
5,59,280.4,1,0,5,290.44
5,60,282.85999999999996,1,5,84,294.6
5,61,284.45,1,2,35,292.2
5,62,293.27,1,4,63,301.13
5,63,295.47999999999996,1,1,28,303.61
5,64,297.12,1,0,1,303.05
5,65,301.03999999999996,1,5,78,309.5
5,66,301.79999999999995,1,2,40,310.53
5,67,309.9,1,2,43,318.63
5,68,310.28999999999996,1,1,18,318.15
5,69,331.96,1,2,32,339.75
5,70,339.34999999999997,1,4,62,346.54
5,71,340.46,1,2,30,347.23
5,72,340.48999999999995,1,0,3,347.75
5,73,348.94,1,1,24,357.47
5,74,355.07,1,3,52,361.66
5,75,361.59999999999997,1,5,85,370.33
5,76,368.97999999999996,1,3,56,376.51
5,77,369.35999999999996,1,1,26,377.49
5,78,371.58,1,4,70,379.71
5,79,372.2,1,0,9,380.13
5,80,382.14,1,2,39,391.27
5,81,387.02,1,4,72,395.15
5,82,389.03,1,5,87,397.76
5,83,389.35999999999996,1,0,10,396.89
5,84,391.21999999999997,1,0,4,403.92
5,85,393.19,2,5,80,409.06
5,86,399.72999999999996,1,2,33,408.19
5,87,404.79999999999995,1,1,15,410.97
5,88,415.71,1,4,71,423.84
5,89,418.90999999999997,3,1,23,439.49
6,0,0.0,1,5,85,8.73
6,1,15.049999999999999,1,1,22,22.24
6,2,21.63,1,2,42,30.36
6,3,26.2,1,3,47,32.79
6,4,27.04,1,2,35,36.01
6,5,27.889999999999997,1,3,58,39.42
6,6,28.189999999999998,1,3,56,46.05
6,7,38.25,1,4,74,46.78
6,8,42.839999999999996,1,1,25,50.97
